t,bpm
1577,162
1578,162
1579,162
1580,162
1581,162
1582,162
1583,162
1584,162
1585,162
1586,161
1587,161
1588,161
1589,161
1590,161
1591,160
1592,161
1593,161
1594,161
1595,161
1596,161
1597,161
1598,160
1599,160
1600,160
1601,160
1602,159
1603,159
1604,157
1605,157
1606,157
1607,157
1608,157
1609,158
1610,158
1611,157
1612,157
1613,157
1614,157
1615,156
1616,155
1617,156
1618,154
1619,155
1620,156
1621,157
1622,155
1623,155
1624,154
1625,153
1626,152
1627,153
1628,153
1629,152
1630,151
1631,150
1632,150
1633,150
1634,150
1635,152
1636,153
1637,153
1638,152
1639,151
1640,151
1641,149
1642,154
1643,151
1644,150
1645,148
1646,147
1647,146
1648,146
1649,147
1650,148
1651,147
1652,150
1653,153
1654,153
1655,153
1656,154
1657,154
1658,153
1659,153
1660,153
1661,154
1662,155
1663,154
1664,154
1665,154
1666,155
1667,155
1668,156
1669,155
1670,156
1671,156
1672,157
1673,157
1674,158
1675,156
1676,155
1677,155
1678,156
1679,154
1680,155
1681,157
1682,159
1683,160
1684,161
1685,161
1686,161
1687,159
1688,158
1689,158
1690,159
1691,159
1692,159
1693,159
1694,161
1695,162
1696,165
1697,166
1698,165
1699,165
1700,165
1701,166
1702,166
1703,166
1704,166
1705,167
1706,167
1707,167
1708,167
1709,166
1710,165
1711,164
1712,164
1713,163
1714,163
1715,162
1716,163
1717,163
1718,163
1719,162
1720,162
1721,161
1722,161
1723,159
1724,159
1725,158
1726,158
1727,157
1728,156
1729,155
1730,155
1731,154
1732,154
1733,153
1734,153
1735,153
1736,152
1737,151
1738,152
1739,150
1740,150
1741,149
1742,148
1743,148
1744,147
1745,146
1746,145
1747,146
1748,145
1749,145
1750,146
1751,146
1752,146
1753,146
1754,146
1755,146
1756,146
1757,146
1758,146
1759,146
1760,146
1761,146
1762,144
1763,143
1764,145
1765,146
1766,146
1767,146
1768,148
1769,148
1770,149
1771,150
1772,150
1773,151
